Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 41, t: 2.74483, relres: 3.52939e-09, relerr: 6.23884e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 30, t: 1.83541, relres: 4.13259e-09, relerr: 7.49549e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 30, t: 1.9896, relres: 1.66229e-08, relerr: 2.72592e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 30, t: 2.12319, relres: 2.07429e-08, relerr: 3.39748e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 1.84768, relres: 2.65818e-09, relerr: 4.78863e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 50, t: 2.80651, relres: 1.68e-09, relerr: 2.86882e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 34, t: 1.9057, relres: 7.12897e-09, relerr: 1.31686e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1280, iter: 29, t: 1.74943, relres: 2.34816e-08, relerr: 4.20197e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 21, t: 1.5766, relres: 9.49629e-09, relerr: 1.58187e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 26, t: 1.72969, relres: 6.13393e-09, relerr: 9.58798e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 23, t: 1.56837, relres: 1.72881e-09, relerr: 2.46497e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 20, t: 1.33777, relres: 7.14162e-09, relerr: 1.15322e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 21, t: 1.42874, relres: 4.43643e-09, relerr: 6.84657e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 22, t: 1.47429, relres: 5.02571e-09, relerr: 7.87567e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 22, t: 1.47121, relres: 1.84427e-09, relerr: 2.9806e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 23, t: 1.54832, relres: 3.4923e-09, relerr: 5.52767e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 22, t: 1.48344, relres: 1.19291e-08, relerr: 1.7654e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 21, t: 1.4502, relres: 7.11637e-09, relerr: 1.0403e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 20, t: 1.32817, relres: 3.12551e-09, relerr: 4.90586e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 21, t: 1.40967, relres: 3.18269e-09, relerr: 4.65882e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 22, t: 1.64535, relres: 1.66563e-09, relerr: 2.52824e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 24, t: 1.88144, relres: 5.99908e-10, relerr: 9.47009e-10
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, iter: 22, t: 1.65162, relres: 8.6786e-09, relerr: 1.3641e-08
