Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.046828, relres: 2.87425e-08, relerr: 3.82963e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 0.048083, relres: 1.75082e-08, relerr: 2.35952e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 31, t: 0.049281, relres: 3.29955e-08, relerr: 4.22991e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 26, t: 0.042211, relres: 3.57219e-08, relerr: 4.79658e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 31, t: 0.047468, relres: 2.87649e-08, relerr: 3.93945e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 28, t: 0.043668, relres: 2.28041e-08, relerr: 2.79951e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 0.045198, relres: 3.33841e-08, relerr: 4.57328e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 32, t: 0.053365, relres: 2.63528e-08, relerr: 3.38266e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 30, t: 0.065725, relres: 2.62054e-08, relerr: 3.43104e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 32, t: 0.051353, relres: 2.27261e-08, relerr: 3.3009e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1280, iter: 29, t: 0.044654, relres: 2.92363e-08, relerr: 3.74861e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1536, iter: 20, t: 0.040823, relres: 2.34964e-08, relerr: 2.80315e-08
