GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 671, t: 0.205739, relres: 9.07928e-09, relerr: 1.9015e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 303, t: 0.093473, relres: 9.43781e-09, relerr: 2.03879e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 257, t: 0.07977, relres: 8.73607e-09, relerr: 1.74733e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 235, t: 0.071598, relres: 9.34104e-09, relerr: 2.00403e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 2333, t: 0.708427, relres: 9.0902e-09, relerr: 1.95709e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 175, t: 0.054951, relres: 9.15646e-09, relerr: 1.9499e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 1283, t: 0.389736, relres: 9.51368e-09, relerr: 2.00753e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 292, t: 0.09384, relres: 9.90803e-09, relerr: 2.09469e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 204, t: 0.085819, relres: 8.8854e-09, relerr: 1.87846e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 294, t: 0.090423, relres: 9.95346e-09, relerr: 2.10378e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 203, t: 0.062837, relres: 8.82191e-09, relerr: 1.80339e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 298, t: 0.090488, relres: 9.11523e-09, relerr: 1.81983e-08
GerSax -> cdp, rand_init, n: 256, m: 1536, iter: 211, t: 0.071856, relres: 8.68773e-09, relerr: 1.76123e-08
