GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.64307, relres: 0.159884, relerr: 1.05655
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.59065, relres: 0.141512, relerr: 0.930668
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.44404, relres: 0.16053, relerr: 1.01317
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.57629, relres: 0.1684, relerr: 1.06834
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.66743, relres: 0.15184, relerr: 1.235
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 1893, t: 3.43864, relres: 9.75464e-09, relerr: 4.70225e-08
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.50144, relres: 0.18792, relerr: 1.3752
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.51266, relres: 0.147548, relerr: 0.977934
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.58974, relres: 0.144538, relerr: 1.0552
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.53196, relres: 0.161521, relerr: 0.938787
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.38611, relres: 0.162366, relerr: 1.08576
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.33279, relres: 0.156777, relerr: 0.998121
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.39197, relres: 0.160439, relerr: 1.28697
GerSax -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 4.70745, relres: 0.163457, relerr: 1.25451
