Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.98904, relres: 0.51997, relerr: 0.951111
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.3997, relres: 0.52001, relerr: 1.02285
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.5812, relres: 0.508448, relerr: 1.0965
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.4539, relres: 0.508866, relerr: 0.921863
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.0316, relres: 0.490825, relerr: 1.1929
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.3591, relres: 0.515445, relerr: 0.834766
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.3792, relres: 0.494798, relerr: 0.933725
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.7322, relres: 0.488476, relerr: 1.08608
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.1206, relres: 0.529494, relerr: 0.937174
Wirtinger -> unitary, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.6635, relres: 0.51213, relerr: 0.950749
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 11.0597, relres: 0.554267, relerr: 0.88244
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 12.0535, relres: 0.476769, relerr: 1.00887
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 11.1528, relres: 0.604252, relerr: 0.99662
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 12.1892, relres: 0.525244, relerr: 0.947694
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 9.72396, relres: 0.517277, relerr: 0.94803
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 11.026, relres: 0.50303, relerr: 0.954803
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 11.8831, relres: 0.523261, relerr: 0.834082
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 11.9154, relres: 0.497444, relerr: 0.872714
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 10.8469, relres: 0.575333, relerr: 0.97434
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 12.1882, relres: 0.518892, relerr: 0.953417
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 12.0369, relres: 0.475245, relerr: 0.808841
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 11.7149, relres: 0.455114, relerr: 0.794901
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 11.9297, relres: 0.557103, relerr: 0.97032
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 12.1081, relres: 0.539999, relerr: 0.958462
Wirtinger -> unitary, complex, eig_init, n: 256, m: 728, iter: 2500, t: 12.0729, relres: 0.440711, relerr: 0.74407
