Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 66.666, relres: 0.131285, relerr: 1.20372
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 76.7776, relres: 0.163397, relerr: 1.33177
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 76.2858, relres: 0.14255, relerr: 1.07317
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 87.903, relres: 0.139083, relerr: 1.41009
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 71.6149, relres: 0.168133, relerr: 1.39286
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 620, iter: 500, t: 70.4279, relres: 0.136784, relerr: 1.35068
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 79.5368, relres: 0.209477, relerr: 1.11588
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 74.2751, relres: 0.184507, relerr: 1.36484
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 61.6318, relres: 0.212042, relerr: 1.27372
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 59.5175, relres: 0.199783, relerr: 1.31577
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.7514, relres: 0.186974, relerr: 1.30082
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.096, relres: 0.173532, relerr: 1.3408
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 58.0697, relres: 0.195284, relerr: 1.31196
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 71.539, relres: 0.183496, relerr: 1.04436
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 61.7719, relres: 0.193188, relerr: 1.18782
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.364, relres: 0.20445, relerr: 1.3404
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 59.4614, relres: 0.177196, relerr: 1.12888
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 59.2739, relres: 0.194683, relerr: 1.24333
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.3911, relres: 0.193577, relerr: 1.2313
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 63.7207, relres: 0.215384, relerr: 1.37763
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.973, relres: 0.195323, relerr: 1.22869
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.6393, relres: 0.219215, relerr: 1.42163
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 58.2997, relres: 0.203052, relerr: 1.29792
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.7687, relres: 0.174982, relerr: 0.914053
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.6757, relres: 0.193958, relerr: 1.29624
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 59.7241, relres: 0.212964, relerr: 1.2367
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.956, relres: 0.178645, relerr: 1.30096
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 59.7658, relres: 0.22566, relerr: 1.35116
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 59.4376, relres: 0.189624, relerr: 1.21957
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.0845, relres: 0.203984, relerr: 1.32261
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.2143, relres: 0.183048, relerr: 1.16443
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.8432, relres: 0.206613, relerr: 1.36595
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 59.8841, relres: 0.208182, relerr: 1.26589
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.7326, relres: 0.199827, relerr: 1.29016
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 60.1249, relres: 0.178108, relerr: 1.2416
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.7679, relres: 0.168137, relerr: 1.2713
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.3796, relres: 0.196746, relerr: 1.27731
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 55.2096, relres: 0.198955, relerr: 1.19202
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.2942, relres: 0.210257, relerr: 1.30233
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 55.9773, relres: 0.194796, relerr: 1.25796
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 55.3353, relres: 0.197837, relerr: 1.21747
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 55.7276, relres: 0.193016, relerr: 1.2494
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 54.7971, relres: 0.183766, relerr: 1.38598
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.7527, relres: 0.202242, relerr: 1.32083
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.2742, relres: 0.183693, relerr: 1.29554
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 55.7449, relres: 0.238134, relerr: 1.29065
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.5329, relres: 0.169917, relerr: 1.34108
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 59.1007, relres: 0.196532, relerr: 1.28424
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 58.715, relres: 0.217405, relerr: 1.29278
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 60.5618, relres: 0.200728, relerr: 1.20472
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 57.513, relres: 0.201767, relerr: 1.27249
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 79.2483, relres: 0.195052, relerr: 1.3008
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 84.1791, relres: 0.190719, relerr: 1.21218
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 68.8013, relres: 0.19761, relerr: 1.18704
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 55.2188, relres: 0.196497, relerr: 1.37031
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 674, iter: 500, t: 56.025, relres: 0.197207, relerr: 1.26613
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 728, iter: 500, t: 62.268, relres: 0.222585, relerr: 1.34039
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 728, iter: 500, t: 61.457, relres: 0.241535, relerr: 1.36608
