Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.93612, relres: 0.398684, relerr: 0.610444
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.10785, relres: 0.363656, relerr: 0.472689
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.02224, relres: 0.346579, relerr: 0.492162
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.11879, relres: 0.484266, relerr: 0.720113
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.01912, relres: 0.516198, relerr: 0.744434
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.18799, relres: 0.361897, relerr: 0.548696
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.06861, relres: 0.487968, relerr: 0.976289
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.08479, relres: 0.456367, relerr: 0.818501
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.1125, relres: 0.50985, relerr: 0.767314
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.06851, relres: 0.477134, relerr: 0.657619
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 3.13993, relres: 0.308907, relerr: 0.398545
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 4.18655, relres: 0.350424, relerr: 0.507329
Wirtinger -> unitary, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.90476, relres: 0.462745, relerr: 0.722287
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.71138, relres: 0.355956, relerr: 0.53776
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.05072, relres: 0.300596, relerr: 0.407219
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.83966, relres: 0.362824, relerr: 0.516212
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.49922, relres: 0.422488, relerr: 0.659102
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.53421, relres: 0.347607, relerr: 0.449809
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.26808, relres: 0.500629, relerr: 0.881244
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.96562, relres: 0.273424, relerr: 0.375174
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.53109, relres: 0.279219, relerr: 0.391357
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.86133, relres: 0.320169, relerr: 0.40129
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.457, relres: 0.428255, relerr: 0.690299
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.8796, relres: 0.469083, relerr: 0.815409
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.4536, relres: 0.363203, relerr: 0.553109
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.74664, relres: 0.399108, relerr: 0.577275
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.26314, relres: 0.405483, relerr: 0.577917
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.49501, relres: 0.48865, relerr: 0.852314
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.52717, relres: 0.413169, relerr: 0.489151
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.79377, relres: 0.337821, relerr: 0.451078
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.34218, relres: 0.289129, relerr: 0.371944
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.83682, relres: 0.382414, relerr: 0.48518
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.47639, relres: 0.384038, relerr: 0.641496
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 5.87221, relres: 0.289741, relerr: 0.382033
Wirtinger -> unitary, real, eig_init, n: 256, m: 728, iter: 2500, t: 4.43621, relres: 0.40127, relerr: 0.480396
