Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.8585, relres: 0.608259, relerr: 1.21078
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 23.3337, relres: 0.645069, relerr: 1.37418
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 25.4204, relres: 0.558208, relerr: 1.13707
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 29.7637, relres: 0.66291, relerr: 1.25981
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 26.9372, relres: 0.543702, relerr: 0.805366
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 27.6374, relres: 0.577818, relerr: 1.32779
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 27.6414, relres: 0.542368, relerr: 0.972809
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 28.6293, relres: 0.629518, relerr: 1.30405
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 674, iter: 500, t: 27.826, relres: 0.583605, relerr: 1.34111
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 728, iter: 500, t: 31.3812, relres: 0.627051, relerr: 1.23731
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 728, iter: 500, t: 31.2868, relres: 0.629559, relerr: 1.37375
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 728, iter: 500, t: 31.1465, relres: 0.583163, relerr: 1.21383
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 728, iter: 500, t: 30.7565, relres: 0.601546, relerr: 1.00988
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 728, iter: 500, t: 31.1417, relres: 0.554066, relerr: 0.841728
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 728, iter: 500, t: 31.1098, relres: 0.616263, relerr: 1.24665
