Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.4617, relres: 0.0760947, relerr: 0.520635
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.8576, relres: 0.14805, relerr: 1.2627
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.4813, relres: 0.164053, relerr: 1.19412
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.5496, relres: 0.185245, relerr: 1.28665
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 14.384, relres: 0.173942, relerr: 1.49042
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.6123, relres: 0.150136, relerr: 1.29045
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.5473, relres: 0.220346, relerr: 1.51501
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 13.6424, relres: 0.141431, relerr: 1.31703
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 16.0553, relres: 0.233365, relerr: 1.17756
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.8514, relres: 0.244924, relerr: 1.57042
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.7703, relres: 0.238039, relerr: 1.16643
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 21.1051, relres: 0.184599, relerr: 1.00179
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 19.8309, relres: 0.213568, relerr: 1.3473
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 19.9316, relres: 0.23594, relerr: 1.43303
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 20.3251, relres: 0.199561, relerr: 1.21359
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 19.8353, relres: 0.25542, relerr: 1.35354
