Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.89305, relres: 0.102241, relerr: 1.31836
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.81699, relres: 0.0967606, relerr: 1.1987
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 9.82639, relres: 0.0931263, relerr: 1.2082
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 9.54448, relres: 0.0932944, relerr: 1.26273
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 9.56543, relres: 0.119021, relerr: 1.39232
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 10.0558, relres: 0.105001, relerr: 1.22156
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.68729, relres: 0.0865209, relerr: 0.993366
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.75609, relres: 0.102005, relerr: 1.25323
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.94685, relres: 0.0999553, relerr: 1.32395
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.99173, relres: 0.0808665, relerr: 0.997519
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.96007, relres: 0.104045, relerr: 1.11145
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.98264, relres: 0.0922079, relerr: 1.10733
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.80933, relres: 0.102497, relerr: 1.28331
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.75157, relres: 0.0622714, relerr: 0.729017
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.92957, relres: 0.0610319, relerr: 0.740949
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.87663, relres: 0.103494, relerr: 1.19723
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 9.22596, relres: 0.090157, relerr: 1.00419
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.30475, relres: 0.0666089, relerr: 0.894533
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 13.0579, relres: 0.0801144, relerr: 1.06259
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.64029, relres: 0.0845186, relerr: 1.0505
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.40673, relres: 0.0878081, relerr: 0.980317
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.87393, relres: 0.0985553, relerr: 1.30911
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.87726, relres: 0.00414236, relerr: 0.0532809
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.6106, relres: 0.0566707, relerr: 0.719468
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.88805, relres: 0.10379, relerr: 1.31715
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 8.89907, relres: 0.0877923, relerr: 1.05657
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.82633, relres: 0.051655, relerr: 0.695636
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 7.92015, relres: 0.0787165, relerr: 1.04904
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 11.579, relres: 0.0732332, relerr: 0.983322
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 9.45518, relres: 0.0883296, relerr: 1.00512
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 9.92216, relres: 0.0798639, relerr: 0.560602
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 10.2868, relres: 0.118017, relerr: 1.16115
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 10.4524, relres: 0.140935, relerr: 1.4694
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 12.8083, relres: 0.0768417, relerr: 0.678313
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 12.1276, relres: 0.0822187, relerr: 0.795378
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 9.77478, relres: 0.109401, relerr: 0.979808
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 9.24253, relres: 0.0708271, relerr: 0.720921
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 8.18647, relres: 0.0609503, relerr: 0.502201
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 8.09477, relres: 0.00110762, relerr: 0.00992459
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 8.7875, relres: 0.123127, relerr: 1.29873
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 8.36552, relres: 0.102011, relerr: 0.872524
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 10.9582, relres: 0.00775003, relerr: 0.0648186
