Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.9476, relres: 0.193813, relerr: 1.30806
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.5259, relres: 0.182559, relerr: 1.28262
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.9865, relres: 0.185223, relerr: 1.30179
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.7716, relres: 0.166497, relerr: 1.51632
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.5118, relres: 0.209044, relerr: 1.40362
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.7436, relres: 0.209375, relerr: 1.48816
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.8079, relres: 0.182652, relerr: 1.3358
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.4341, relres: 0.195365, relerr: 1.30883
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.5929, relres: 0.209626, relerr: 1.45227
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.4758, relres: 0.187211, relerr: 1.58368
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.9576, relres: 0.144667, relerr: 1.25802
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.5732, relres: 0.229637, relerr: 1.47003
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.6511, relres: 0.184554, relerr: 1.2479
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.2308, relres: 0.172986, relerr: 1.34665
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.9837, relres: 0.191293, relerr: 1.24069
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.148, relres: 0.209628, relerr: 1.45684
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.6332, relres: 0.195124, relerr: 1.12458
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.2863, relres: 0.193197, relerr: 1.4298
