Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.04085, relres: 0.40316, relerr: 1.04532
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.93118, relres: 0.18173, relerr: 0.132944
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.95591, relres: 0.249096, relerr: 0.289045
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.98904, relres: 0.247832, relerr: 0.170582
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.98744, relres: 0.430559, relerr: 1.03044
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.96556, relres: 0.432886, relerr: 0.929737
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.99306, relres: 0.281187, relerr: 0.0796281
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 2.00899, relres: 0.160524, relerr: 0.0679759
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.93498, relres: 0.35508, relerr: 1.21333
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.95469, relres: 0.424772, relerr: 0.0841151
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.99348, relres: 0.170786, relerr: 0.0924296
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.99166, relres: 0.501513, relerr: 1.36363
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.97083, relres: 0.23801, relerr: 0.111132
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.99591, relres: 0.376854, relerr: 0.189538
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.96746, relres: 0.317857, relerr: 0.130194
Wirtinger -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.96551, relres: 0.236494, relerr: 0.157537
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.26287, relres: 0.225595, relerr: 0.0847089
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.29807, relres: 0.370007, relerr: 0.961099
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.31548, relres: 0.290586, relerr: 0.0867663
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.25282, relres: 0.225237, relerr: 0.0587838
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.31607, relres: 0.378628, relerr: 0.0763161
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.25881, relres: 0.158679, relerr: 0.0867632
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.24523, relres: 0.422717, relerr: 1.0229
