Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 23.3562, relres: 0.924133, relerr: 1.41462
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 460, t: 21.9684, relres: 1.22476e-08, relerr: 1.52265e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 73, t: 3.53311, relres: 2.64655e-08, relerr: 3.90696e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 69, t: 3.39402, relres: 1.27361e-08, relerr: 1.63286e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 51, t: 2.45128, relres: 1.63381e-08, relerr: 2.0584e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 194, t: 9.48004, relres: 2.29964e-08, relerr: 2.94131e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 210, t: 10.0013, relres: 2.69462e-08, relerr: 3.30481e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 195, t: 9.41943, relres: 1.22427e-08, relerr: 1.62669e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 202, t: 9.60185, relres: 2.12391e-08, relerr: 2.52492e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 32, t: 1.57368, relres: 2.71082e-08, relerr: 3.69242e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 40, t: 1.93143, relres: 2.06966e-08, relerr: 2.54814e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 89, t: 4.43835, relres: 8.12873e-09, relerr: 1.33517e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 88, t: 4.28411, relres: 2.45321e-08, relerr: 2.9471e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 169, t: 8.18628, relres: 1.01197e-08, relerr: 1.27855e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 394, t: 18.466, relres: 1.08527e-08, relerr: 1.52833e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 34, t: 1.71928, relres: 1.08781e-08, relerr: 1.48285e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 42, t: 2.00981, relres: 1.71597e-08, relerr: 2.12248e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 674, iter: 49, t: 2.42136, relres: 1.0055e-08, relerr: 1.29424e-08
