GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.131, relres: 0.323382, relerr: 0.579862
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.21422, relres: 0.442932, relerr: 0.787312
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.15354, relres: 0.498809, relerr: 0.855627
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.09264, relres: 0.397043, relerr: 0.674417
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.18711, relres: 0.496767, relerr: 0.762851
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.1956, relres: 0.58801, relerr: 0.860654
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.09527, relres: 0.41274, relerr: 0.619716
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.08397, relres: 0.551477, relerr: 0.905534
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.11734, relres: 0.449616, relerr: 0.804894
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.2154, relres: 0.586848, relerr: 1.05991
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.10476, relres: 0.700108, relerr: 0.984576
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.12073, relres: 0.796932, relerr: 1.13198
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.18003, relres: 0.528466, relerr: 0.789303
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13208, relres: 0.595305, relerr: 1.04724
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.1399, relres: 0.497043, relerr: 0.809874
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.13736, relres: 0.48927, relerr: 0.684259
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.12739, relres: 0.619686, relerr: 0.874894
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.16849, relres: 0.634947, relerr: 1.01681
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.12598, relres: 0.442542, relerr: 0.765129
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.1258, relres: 0.657881, relerr: 0.973824
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.09776, relres: 0.77128, relerr: 1.13135
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.07309, relres: 0.70121, relerr: 1.02989
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.17957, relres: 0.396332, relerr: 0.754982
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.09996, relres: 0.57747, relerr: 0.858885
GerSax -> gaussian, real, eig_init, n: 256, m: 674, iter: 2500, t: 1.12693, relres: 0.647619, relerr: 0.932222
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.28285, relres: 0.65475, relerr: 0.909328
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.20069, relres: 0.863343, relerr: 1.00776
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.21482, relres: 0.481074, relerr: 0.734455
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.15976, relres: 0.624939, relerr: 0.806108
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.22208, relres: 0.581888, relerr: 0.775043
