GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 16.5231, relres: 0.130973, relerr: 1.26289
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 17.8289, relres: 0.13468, relerr: 1.16826
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.6287, relres: 0.137186, relerr: 1.24
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.9651, relres: 0.110992, relerr: 0.864213
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 1291, t: 7.95301, relres: 9.91237e-09, relerr: 7.09398e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.626, relres: 0.1139, relerr: 1.02897
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.313, relres: 0.120565, relerr: 1.13209
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.5137, relres: 0.130301, relerr: 1.31039
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 21.7655, relres: 0.132907, relerr: 1.3704
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 23.3539, relres: 0.144262, relerr: 1.46648
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 21.6513, relres: 0.134892, relerr: 1.33538
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.5779, relres: 0.121841, relerr: 1.19194
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 21.0942, relres: 0.159624, relerr: 1.38562
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.3573, relres: 0.14354, relerr: 1.25897
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.5632, relres: 0.11347, relerr: 1.15489
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 17.7523, relres: 0.122931, relerr: 1.1748
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 21.2445, relres: 0.112727, relerr: 1.06153
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 19.24, relres: 0.142685, relerr: 1.41344
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.037, relres: 0.0862778, relerr: 0.721819
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 19.823, relres: 0.0946755, relerr: 0.816424
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 21.4904, relres: 0.119885, relerr: 1.24446
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 21.2716, relres: 0.109563, relerr: 0.864704
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 22.2624, relres: 0.0788091, relerr: 0.72228
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 27.6612, relres: 0.123492, relerr: 1.16449
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 21.7881, relres: 0.116155, relerr: 1.11109
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.7094, relres: 0.108497, relerr: 0.973755
