Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 33, t: 0.821531, relres: 8.20812e-10, relerr: 1.08415e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 28, t: 0.57368, relres: 1.15687e-09, relerr: 1.75076e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 27, t: 0.588636, relres: 3.48635e-09, relerr: 5.32022e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 27, t: 0.530809, relres: 2.67331e-09, relerr: 3.65654e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 33, t: 0.711763, relres: 8.27178e-11, relerr: 1.18138e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 30, t: 0.595446, relres: 6.94543e-10, relerr: 9.86849e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 300, t: 6.08618, relres: 0.560263, relerr: 1.34664
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 30, t: 0.681511, relres: 4.31063e-10, relerr: 6.95653e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 33, t: 0.66607, relres: 3.38241e-10, relerr: 4.74589e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 300, t: 5.5518, relres: 0.491055, relerr: 1.03566
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 300, t: 5.92164, relres: 0.435164, relerr: 0.849182
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 35, t: 0.760297, relres: 4.63834e-11, relerr: 7.56031e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 33, t: 0.644711, relres: 1.08506e-10, relerr: 1.62659e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 674, iter: 34, t: 0.65916, relres: 4.14853e-10, relerr: 6.25024e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 728, iter: 26, t: 0.528284, relres: 3.26017e-10, relerr: 4.84463e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 728, iter: 26, t: 0.537411, relres: 6.97835e-10, relerr: 9.62907e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 728, iter: 27, t: 0.560964, relres: 8.96183e-11, relerr: 1.30542e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 728, iter: 26, t: 0.560729, relres: 5.56156e-10, relerr: 7.02521e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 728, iter: 26, t: 0.550334, relres: 1.29409e-10, relerr: 1.77113e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 728, iter: 29, t: 0.803277, relres: 2.81187e-11, relerr: 3.46026e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 728, iter: 26, t: 0.63395, relres: 7.72472e-10, relerr: 1.10436e-09
