Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7946, relres: 0.532298, relerr: 1.51928
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.9856, relres: 0.55758, relerr: 1.55821
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.6467, relres: 0.51065, relerr: 1.56639
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8325, relres: 0.568903, relerr: 1.53934
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7733, relres: 0.537972, relerr: 1.49872
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.9297, relres: 0.535131, relerr: 1.59203
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7809, relres: 0.566315, relerr: 1.62504
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7293, relres: 0.534684, relerr: 1.5281
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.785, relres: 0.495867, relerr: 1.5356
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 51.0598, relres: 0.482145, relerr: 1.59684
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7582, relres: 0.516157, relerr: 1.60301
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.9302, relres: 0.490144, relerr: 1.67165
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7429, relres: 0.530003, relerr: 1.59865
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8725, relres: 0.556144, relerr: 1.50265
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7353, relres: 0.55031, relerr: 1.5268
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.9198, relres: 0.575875, relerr: 1.48123
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.6359, relres: 0.554079, relerr: 1.55981
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.9317, relres: 0.522307, relerr: 1.53369
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.6044, relres: 0.519966, relerr: 1.50132
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8446, relres: 0.557502, relerr: 1.5377
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7728, relres: 0.575092, relerr: 1.54344
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8201, relres: 0.526461, relerr: 1.55215
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.6719, relres: 0.477887, relerr: 1.56793
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.9046, relres: 0.627567, relerr: 1.50858
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7589, relres: 0.553366, relerr: 1.55239
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8757, relres: 0.543431, relerr: 1.59845
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.6924, relres: 0.48973, relerr: 1.56339
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.9957, relres: 0.508405, relerr: 1.51813
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.7051, relres: 0.515003, relerr: 1.55618
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.8729, relres: 0.481215, relerr: 1.60587
Block Kaczmarz-128 -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 50.5986, relres: 0.611848, relerr: 1.46177
